accuracy,loss,val_accuracy,val_loss
0.42233332991600037,1.2013301849365234,0.5823333263397217,0.9280761480331421
0.5833333134651184,0.9104059934616089,0.7246666550636292,0.6608872413635254
0.7009166479110718,0.6896517872810364,0.7326666712760925,0.5676910877227783
0.7474166750907898,0.5911712050437927,0.8143333196640015,0.46929678320884705
0.7848333120346069,0.5079069137573242,0.8306666612625122,0.4169529974460602
0.7870833277702332,0.5069544911384583,0.8320000171661377,0.4112059772014618
0.8046666383743286,0.46730145812034607,0.8606666922569275,0.3630274534225464
0.8186666369438171,0.44497761130332947,0.862666666507721,0.35316723585128784
0.8370000123977661,0.402211457490921,0.8513333201408386,0.3583211600780487
0.8351666927337646,0.4125220477581024,0.8846666812896729,0.30532917380332947
